Rank,Player,Team,Bye,POS,ESPN,Yahoo,CBS,Sleeper,NFL,RTSports,Fantrax,AVG
30,Josh Jacobs,GB,11,RB15,,32,,28,,31,,30.3
31,Javonte Williams,DAL,14,RB16,,33,,33,,26,,30.7
32,DeVonta Smith,PHI,10,WR13,,28,,34,,35,,32.3
33,Rashee Rice,KC,5,WR14,,34,,29,,34,,32.3
34,Breece Hall,NYJ,13,RB17,,35,,32,,32,,33.0
35,Zay Flowers,BAL,13,WR15,,36,,42,,37,,38.3
36,Tee Higgins,CIN,6,WR16,,31,,38,,49,,39.3
37,Cam Skattebo,NYG,8,RB18,,41,,37,,40,,39.3
38,Travis Etienne Jr.,NO,8,RB19,,42,,41,,36,,39.7
39,Tetairoa McMillan,CAR,5,WR17,,40,,36,,45,,40.3
40,Lamar Jackson,BAL,13,QB2,,37,,35,,50,,40.7
41,Colston Loveland,CHI,10,TE3,,38,,43,,43,,41.3
42,Emeka Egbuka,TB,10,WR18,,43,,40,,41,,41.3
43,Ladd McConkey,LAC,7,WR19,,44,,39,,44,,42.3
44,Garrett Wilson,NYJ,13,WR20,,48,,44,,39,,43.7
45,Quinshon Judkins,CLE,11,RB20,,51,,48,,38,,45.7
46,Jaylen Waddle,DEN,10,WR21,,39,,47,,52,,46.0
47,D'Andre Swift,CHI,10,RB21,,45,,49,,46,,46.7
48,Bucky Irving,TB,10,RB22,,55,,45,,42,,47.3
49,David Montgomery,HOU,8,RB23,,50,,46,,48,,48.0
50,DJ Moore,BUF,7,WR22,,59,,55,,33,,49.0
51,Tyler Warren,IND,13,TE4,,46,,50,,55,,50.3
52,Drake Maye,NE,11,QB3,,47,,52,,59,,52.7
53,Terry McLaurin,WAS,7,WR23,,52,,53,,56,,53.7
54,Luther Burden III,CHI,10,WR24,,57,,58,,47,,54.0
55,Joe Burrow,CIN,6,QB4,,49,,54,,61,,54.7
56,TreVeyon Henderson,NE,11,RB24,,62,,51,,54,,55.7
57,Davante Adams,LAR,11,WR25,,54,,56,,58,,56.0
58,Bhayshul Tuten,JAC,7,RB25,,60,,60,,51,,57.0
59,Jadarian Price,SEA,11,RB26,,63,,59,,53,,58.3
60,Jameson Williams,DET,6,WR26,,64,,57,,57,,59.3
61,Jayden Daniels,WAS,7,QB5,,53,,66,,66,,61.7
62,Rome Odunze,CHI,10,WR27,,65,,62,,60,,62.3
63,Jalen Hurts,PHI,10,QB6,,56,,63,,71,,63.3
64,Mike Evans,SF,8,WR28,,66,,61,,67,,64.7
65,Tucker Kraft,GB,11,TE5,,58,,65,,74,,65.7
66,Christian Watson,GB,11,WR29,,67,,68,,69,,68.0
67,Jaylen Warren,PIT,9,RB27,,73,,69,,64,,68.7
68,Harold Fannin Jr.,CLE,11,TE6,,70,,74,,65,,69.7
69,Parker Washington,JAC,7,WR30,,77,,71,,62,,70.0
70,Rhamondre Stevenson,NE,11,RB28,,75,,76,,63,,71.3
71,Sam LaPorta,DET,6,TE7,,61,,64,,96,,73.7
72,Caleb Williams,CHI,10,QB7,,68,,75,,80,,74.3
73,Kyle Pitts Sr.,ATL,11,TE8,,71,,70,,83,,74.7
74,Carnell Tate,TEN,9,WR31,,76,,67,,82,,75.0
75,Marvin Harrison Jr.,ARI,14,WR32,,74,,73,,81,,76.0
76,Tony Pollard,TEN,9,RB29,,80,,79,,75,,78.0
77,Rico Dowdle,PIT,9,RB30,,85,,83,,68,,78.7
78,Justin Herbert,LAC,7,QB8,,69,,80,,87,,78.7
79,Brian Thomas Jr.,JAC,7,WR33,,78,,72,,86,,78.7
80,Dak Prescott,DAL,14,QB9,,72,,84,,84,,80.0
81,Chuba Hubbard,CAR,5,RB31,,81,,77,,90,,82.7
82,Jonathon Brooks,CAR,5,RB32,,92,,88,,70,,83.3
